id,rq,family,left,right,effect_cohens_g,effect_odds_ratio_haldane,effect_cohens_dz,effect_rank_biserial,mean_difference,p_value_holm,significant_holm_0.05
rq1_mcnemar_displayed_sa_vs_ma,RQ1,rq1_confirmatory,single_agent,multi_agent,-0.0652,0.7778,,,-0.0214,0.6776,false
rq1_mcnemar_displayed_sa_vs_uq,RQ1,rq1_exploratory,single_agent,multi_agent_uq,0.0000,1.0000,,,0.0000,1.0000,false
rq1_mcnemar_displayed_ma_vs_uq,RQ1,rq1_exploratory,multi_agent,multi_agent_uq,0.3000,3.0000,,,0.0214,1.0000,false
rq1_mcnemar_claim_sa_vs_ma,RQ1,rq1_exploratory,single_agent,multi_agent,-0.0652,0.7778,,,-0.0214,1.0000,false
rq1_mcnemar_claim_sa_vs_uq,RQ1,rq1_exploratory,single_agent,multi_agent_uq,0.0357,1.1481,,,0.0143,1.0000,false
rq1_mcnemar_claim_ma_vs_uq,RQ1,rq1_exploratory,multi_agent,multi_agent_uq,0.3571,4.3333,,,0.0357,0.6250,false
rq2_spearman_uq_confidence_vs_llm_faithfulness,RQ2,rq2_confirmatory,,,,,,,,2.40335e-21,true
rq2_mannwhitney_uq_llm_answer_vs_abstain,RQ2,rq2_confirmatory,UQ ANSWER,UQ ABSTAIN,,,,0.6679,,1.7667e-14,true
rq2_wilcoxon_llm_ma_vs_uq,RQ2,rq2_confirmatory,multi_agent,multi_agent_uq,,,0.0743,-0.1595,0.0265,0.4032,false
rq2_wilcoxon_llm_sa_vs_ma,RQ2,rq2_exploratory,single_agent,multi_agent,,,0.0536,-0.0934,0.0243,0.5236,false
rq2_wilcoxon_llm_sa_vs_uq,RQ2,rq2_exploratory,single_agent,multi_agent_uq,,,0.1189,-0.2283,0.0508,0.2654,false
rq2_spearman_uq_confidence_vs_claim_correctness,RQ2,rq2_exploratory,,,,,,,,0.0003,true
rq2_spearman_uq_confidence_vs_llm_among_answered,RQ2,rq2_exploratory,,,,,,,,0.0133,true
rq3_mcnemar_unsupported_sa_vs_uq,RQ3,rq3_confirmatory,single_agent,multi_agent_uq,-0.4079,0.1079,,,-0.4429,6.41797e-14,true
rq3_mcnemar_unsupported_ma_vs_uq,RQ3,rq3_confirmatory,multi_agent,multi_agent_uq,-0.4851,0.0226,,,-0.4643,1.84314e-18,true
sec_overlap_sa_vs_ma,secondary,secondary_token_overlap,single_agent,multi_agent,,,-0.0329,-0.0058,-0.0066,1.0000,false
sec_overlap_sa_vs_uq,secondary,secondary_token_overlap,single_agent,multi_agent_uq,,,-0.0411,-0.0255,-0.0079,1.0000,false
sec_overlap_ma_vs_uq,secondary,secondary_token_overlap,multi_agent,multi_agent_uq,,,-0.0086,-0.0526,-0.0014,1.0000,false
